Date_Time,% On-TimeGateArrivals,AverageBlockDelay,AverageTaxiInDelay,AverageAirborneDelay,AverageAirportDepartureDelay,AverageGateDepartureDelay,AverageGateArrivalDelay
2019-03-31 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01 02:00:00,0.0,0.0,0.0,0.0,18.67,13.33,0.0
2019-04-02 02:00:00,100.0,0.0,2.1,0.0,0.0,0.0,0.0
2019-04-03 02:00:00,50.0,2.0,4.1,0.0,0.0,0.0,14.5
2019-04-04 02:00:00,100.0,15.0,8.1,6.0,5.0,0.0,2.0
2019-04-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-06 02:00:00,0.0,0.0,0.0,0.0,7.67,0.0,0.0
2019-04-07 02:00:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2019-04-08 02:00:00,100.0,0.0,3.1,0.0,0.0,0.0,0.0
2019-04-09 02:00:00,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2019-04-10 02:00:00,100.0,15.0,8.1,9.0,21.5,15.5,0.0
2019-04-11 02:00:00,0.0,17.0,8.1,6.0,10.0,0.0,31.0
2019-04-12 02:00:00,0.0,0.0,0.0,0.0,22.75,11.0,0.0
2019-04-13 02:00:00,0.0,0.0,0.0,0.0,33.33,25.33,0.0
2019-04-14 02:00:00,100.0,14.0,9.1,5.0,7.25,0.0,5.0
2019-04-15 02:00:00,100.0,12.0,6.1,1.0,27.0,19.75,2.0
2019-04-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-17 02:00:00,0.0,17.0,7.1,11.0,3.0,0.0,34.0
2019-04-18 02:00:00,100.0,6.0,5.1,5.0,5.67,0.0,0.0
2019-04-19 02:00:00,0.0,0.0,0.0,0.0,28.0,21.33,0.0
2019-04-20 02:00:00,0.0,0.0,0.0,0.0,43.0,37.0,0.0
2019-04-21 02:00:00,0.0,0.0,4.1,0.0,24.5,12.5,23.0
2019-04-22 02:00:00,0.0,0.0,0.0,0.0,4.67,0.0,0.0
2019-04-23 02:00:00,0.0,16.0,16.0,0.0,3.33,0.0,22.0
2019-04-24 02:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-04-25 02:00:00,100.0,17.0,6.1,6.0,13.67,5.33,4.0
2019-04-26 02:00:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2019-04-27 02:00:00,0.0,0.0,0.0,0.0,65.0,55.0,0.0
2019-04-28 02:00:00,100.0,3.0,5.8,4.0,83.8,76.6,3.0
2019-04-29 02:00:00,100.0,6.0,7.1,0.0,17.0,7.5,3.0
2019-04-30 02:00:00,100.0,10.0,6.1,6.0,5.33,3.0,2.0
2019-05-01 02:00:00,50.0,11.5,5.1,4.5,14.33,11.67,13.0
2019-05-02 02:00:00,33.33,6.33,4.17,0.33,21.75,11.75,47.33
2019-05-03 02:00:00,0.0,0.0,0.0,0.0,35.0,30.0,0.0
2019-05-04 02:00:00,100.0,18.0,7.1,10.0,37.0,30.0,3.0
2019-05-05 02:00:00,0.0,0.0,0.0,0.0,23.0,16.5,0.0
2019-05-06 02:00:00,0.0,0.0,0.0,0.0,11.33,7.67,0.0
2019-05-07 02:00:00,0.0,0.0,0.0,0.0,83.5,74.5,0.0
2019-05-08 02:00:00,66.67,10.0,4.83,4.33,36.5,33.0,7.67
2019-05-09 02:00:00,50.0,13.0,3.6,6.0,53.5,44.5,11.5
2019-05-10 02:00:00,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2019-05-11 02:00:00,0.0,11.0,9.1,0.0,69.0,61.0,86.0
2019-05-12 02:00:00,0.0,0.0,0.0,0.0,38.0,32.5,0.0
2019-05-13 02:00:00,100.0,0.0,8.1,0.0,4.5,0.0,4.0
2019-05-14 02:00:00,100.0,0.0,5.1,0.0,13.0,0.0,1.0
2019-05-15 02:00:00,0.0,9.0,5.1,1.0,8.75,4.75,67.0
2019-05-16 02:00:00,33.33,6.0,5.1,1.0,9.0,0.0,17.0
2019-05-17 02:00:00,0.0,0.0,0.0,0.0,53.0,48.5,0.0
2019-05-18 02:00:00,0.0,0.0,0.0,0.0,98.0,96.0,0.0
2019-05-19 02:00:00,0.0,6.0,5.1,0.0,28.0,13.33,30.0
2019-05-20 02:00:00,100.0,0.0,3.0,0.0,18.67,10.33,0.0
2019-05-21 02:00:00,100.0,0.0,8.1,0.0,8.0,0.0,4.0
2019-05-22 02:00:00,0.0,0.0,0.0,0.0,11.5,7.5,0.0
2019-05-23 02:00:00,33.33,5.67,4.07,3.33,4.0,0.0,40.33
2019-05-24 02:00:00,0.0,9.0,8.1,0.0,15.0,0.0,50.0
2019-05-25 02:00:00,0.0,0.0,0.0,0.0,14.0,9.5,0.0
2019-05-26 02:00:00,0.0,0.0,0.0,0.0,11.67,6.33,0.0
2019-05-27 02:00:00,0.0,0.0,0.0,0.0,10.5,0.0,0.0
2019-05-28 02:00:00,0.0,0.0,0.0,0.0,32.0,20.5,0.0
2019-05-29 02:00:00,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2019-05-30 02:00:00,0.0,27.0,6.1,20.0,11.0,0.0,16.0
2019-05-31 02:00:00,100.0,0.0,2.1,0.0,61.5,57.0,0.0
2019-03-01 03:00:00,100.0,3.0,6.1,0.0,0.0,0.0,0.0
2019-03-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-03 03:00:00,100.0,0.0,5.1,0.0,0.0,0.0,1.0
2019-03-04 03:00:00,0.0,0.0,0.0,0.0,22.5,19.0,0.0
